sum,GDP_MD_EST,ISO_A2,POP_RANK,ISO_A3,CONTINENT,POP_EST,INCOME_GRP,SUBREGION,system:index,NAME
832326.0901960784,66010.0,CD,16,COD,Africa,83301151,5. Low income,Middle Africa,0000000000000000000b,Dem. Rep. Congo
4210671.039215687,30590.0,TD,14,TCD,Africa,12075985,5. Low income,Middle Africa,0000000000000000000f,Chad
57856.976470588226,3206.0,CF,13,CAF,Africa,5625118,5. Low income,Middle Africa,00000000000000000042,Central African Rep.
1.6442750631372552E7,150600.0,TZ,16,TZA,Africa,53950935,5. Low income,Eastern Africa,00000000000000000001,Tanzania
859282.643137255,4719.0,SO,13,SOM,Africa,7531386,5. Low income,Eastern Africa,0000000000000000000c,Somalia
2085682.8352941177,152700.0,KE,15,KEN,Africa,47615739,5. Low income,Eastern Africa,0000000000000000000d,Kenya
4687889.388235293,28330.0,ZW,14,ZWE,Africa,13805084,5. Low income,Eastern Africa,00000000000000000030,Zimbabwe
3876921.901960784,21200.0,MW,14,MWI,Africa,19196246,5. Low income,Eastern Africa,00000000000000000047,Malawi
4725092.239215688,35010.0,MZ,15,MOZ,Africa,26573706,5. Low income,Eastern Africa,00000000000000000048,Mozambique
824098.4156862746,7892.0,BI,14,BDI,Africa,11466756,5. Low income,Eastern Africa,0000000000000000004b,Burundi
3224220.2352941167,36860.0,MG,15,MDG,Africa,25054161,5. Low income,Eastern Africa,0000000000000000004e,Madagascar
636274.3372549016,9169.0,ER,13,ERI,Africa,5918919,5. Low income,Eastern Africa,00000000000000000099,Eritrea
1.9853545352941174E7,174700.0,ET,17,ETH,Africa,105350020,5. Low income,Eastern Africa,000000000000000000a3,Ethiopia
1500978.7607843138,84930.0,UG,15,UGA,Africa,39570125,5. Low income,Eastern Africa,000000000000000000a6,Uganda
800082.792156863,21970.0,RW,14,RWA,Africa,11901484,5. Low income,Eastern Africa,000000000000000000a7,Rwanda
196921.6392156863,20880.0,SS,14,SSD,Africa,13026129,5. Low income,Eastern Africa,000000000000000000ae,S. Sudan
8491127.474509805,38090.0,ML,14,MLI,Africa,17885245,5. Low income,Western Africa,00000000000000000034,Mali
357710.92156862747,16710.0,MR,12,MRT,Africa,3758571,5. Low income,Western Africa,00000000000000000035,Mauritania
2806524.0117647056,24310.0,BJ,14,BEN,Africa,11038805,5. Low income,Western Africa,00000000000000000036,Benin
6769814.356862742,20150.0,NE,14,NER,Africa,19245344,5. Low income,Western Africa,00000000000000000037,Niger
1647687.1647058823,11610.0,TG,13,TGO,Africa,7965055,5. Low income,Western Africa,0000000000000000003a,Togo
519691.5450980392,16080.0,GN,14,GIN,Africa,12413867,5. Low income,Western Africa,0000000000000000003d,Guinea
97663.36078431373,2851.0,GW,12,GNB,Africa,1792338,5. Low income,Western Africa,0000000000000000003e,Guinea-Bissau
776.9450980392157,3881.0,LR,12,LBR,Africa,4689021,5. Low income,Western Africa,0000000000000000003f,Liberia
30404.521568627453,10640.0,SL,13,SLE,Africa,6163195,5. Low income,Western Africa,00000000000000000040,Sierra Leone
7626399.541176461,32990.0,BF,15,BFA,Africa,20107509,5. Low income,Western Africa,00000000000000000041,Burkina Faso
411575.15294117655,3387.0,GM,12,GMB,Africa,2051363,5. Low income,Western Africa,00000000000000000050,Gambia
0.0,906.5,EH,11,ESH,Africa,603253,5. Low income,Northern Africa,00000000000000000002,W. Sahara
2554.1882352941175,35980.0,GA,12,GAB,Africa,1772255,3. Upper middle income,Middle Africa,00000000000000000044,Gabon
3626347.9294117647,189000.0,AO,15,AGO,Africa,29310273,3. Upper middle income,Middle Africa,0000000000000000004a,Angola
3251320.1647058823,130800.0,TN,14,TUN,Africa,11403800,3. Upper middle income,Northern Africa,00000000000000000051,Tunisia
8119360.866666669,609400.0,DZ,15,DZA,Africa,40969443,3. Upper middle income,Northern Africa,00000000000000000052,Algeria
969863.6549019609,90890.0,LY,13,LBY,Africa,6653210,3. Upper middle income,Northern Africa,000000000000000000a2,Libya
1.2308863772549016E7,739100.0,ZA,16,ZAF,Africa,54841552,3. Upper middle income,Southern Africa,00000000000000000019,South Africa
568990.7137254901,35900.0,BW,12,BWA,Africa,2214858,3. Upper middle income,Southern Africa,00000000000000000031,Botswana
370396.61960784317,25990.0,NA,12,NAM,Africa,2484780,3. Upper middle income,Southern Africa,00000000000000000032,Namibia
2141102.0784313716,77240.0,CM,15,CMR,Africa,24994885,4. Lower middle income,Middle Africa,00000000000000000039,Cameroon
14682.945098039216,30270.0,CG,12,COG,Africa,4954674,4. Lower middle income,Middle Africa,00000000000000000043,Congo
4492320.80392157,65170.0,ZM,14,ZMB,Africa,15972000,4. Lower middle income,Eastern Africa,00000000000000000046,Zambia
9173.63137254902,3345.0,DJ,11,DJI,Africa,865267,4. Lower middle income,Eastern Africa,000000000000000000a4,Djibouti
113969.27843137253,12250.0,-99,12,-99,Africa,3500000,4. Lower middle income,Eastern Africa,000000000000000000a5,Somaliland
