Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_12,Class_23,Class_24,Class_90,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01802710,78,1550236201,00,VI,78,A,+18.3267480,0,9,United States Virgin Islands,-064.9712508,G4000,348021896,00000000000000000022
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01779809,69,4644252461,00,MP,69,A,+14.9367835,0,9,Commonwealth of the Northern Mariana Islands,+145.6010210,G4000,472292529,00000000000000000023
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01802705,66,934337453,00,GU,66,A,+13.4382886,0,9,Guam,+144.7729493,G4000,543555840,00000000000000000024
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01802701,60,1307243754,00,AS,60,A,-14.2671590,0,9,American Samoa,-170.6682674,G4000,197759063,00000000000000000029
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01779808,72,4922382562,00,PR,72,A,+18.2176480,0,9,Puerto Rico,-066.4107992,G4000,8868896030,00000000000000000031
81.0853,50.8536,17.4843,31.6379,858.7944,29.3414,27.941,101.9544,104.9196,401.8067,1314.453,143.9184,4000.7556999999997,0,350.3,141.3343,344.9314,01219835,44,1323670487,00,RI,44,A,+41.5974187,1,1,Rhode Island,-071.5272723,G4000,2677779902,00000000000000000005
719.4609,121.5805,70.5616,103.7194,5293.1332,177.9115,75.1567,4370.3054,524.1626,9100.6537,1024.7875,509.9288,24215.507200000004,0,413.0573,108.1162,1602.9719,01779794,33,1026675248,00,NH,33,A,+43.6726907,1,1,New Hampshire,-071.5843145,G4000,23189413166,00000000000000000007
3141.2259,45.8622,434.7394,114.3151,9588.6768,74.2761,33.1171,3129.4369,387.4514,5400.5034,1001.3635,220.8989,24903.4266,0,201.3728,43.8048,1086.3823,01779802,50,1030416650,00,VT,50,A,+44.0685773,1,1,Vermont,-072.6691839,G4000,23874175944,00000000000000000009
462.9919,50.074,214.6323,87.392,6389.1296,26.344,32.8023,140.2907,941.2159,1329.8514,1829.3556,820.9176,14358.0011,0,815.1831,212.7929,1005.0278,01779780,09,1815617571,00,CT,09,A,+41.5798637,1,1,Connecticut,-072.7466572,G4000,12542497068,0000000000000000000a
2241.0497,1539.7298,1062.5933,783.2863,12944.4479,887.9636,116.324,17930.2106,869.6415,29878.2847,11816.4807,649.4769,91627.82870000001,0,385.8611,119.5086,10402.97,01779787,23,11746549764,00,ME,23,A,+45.4092843,1,1,Maine,-068.6666160,G4000,79887426037,00000000000000000025
736.8015,179.4858,267.3321,347.1019,4606.5546,89.2612,158.5994,1753.0703,947.9306,4686.4174,7101.0049,1485.4058,27331.755600000004,0,1872.4153,631.2382,2469.1366,00606926,25,7129925486,00,MA,25,A,+42.1565196,1,1,Massachusetts,-071.4895915,G4000,20205125364,00000000000000000033
863.0257,97.4139,1968.4532,931.1395,4117.1105,66.2571,101.0456,765.5148,1997.7613,863.5354,3456.1487,1866.8104,22591.290500000003,0,1281.0924,614.7023,3601.2797,01779795,34,3544860246,00,NJ,34,A,+40.1072744,2,1,New Jersey,-074.6652012,G4000,19047825980,0000000000000000000e
16131.9319,618.2819,11791.8042,160.9613,59401.4543,324.7763,258.2135,1338.6898,5091.9579,12832.17,3292.9987,3466.0779,119277.1022,0,1970.4083,898.3994,1698.9768,01779798,42,3394589990,00,PA,42,A,+40.9024957,2,1,Pennsylvania,-077.8334514,G4000,115884442321,00000000000000000012
17537.6033,423.0675,11223.8937,654.3371,49498.7991,382.8354,225.2938,9815.3197,3968.7353,12276.0531,19249.7367,2857.1609,141283.35280000002,0,2145.543,1048.3931,9976.5811,01779796,36,19246994695,00,NY,36,A,+42.9133974,2,1,New York,-075.5962723,G4000,122049149763,00000000000000000026
10163.5873,382.2793,97422.1429,480.3767,19448.6674,55.9565,170.4309,138.0728,2188.6985,886.3553,6390.0682,5109.0805,149994.44,0,2929.6251,1117.4756,3111.623,01779784,17,6214824948,00,IL,17,A,+40.1028754,3,2,Illinois,-089.1526108,G4000,143780567633,00000000000000000002
