Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_12,Class_23,Class_24,Class_90,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01802710,78,1550236201,00,VI,78,A,+18.3267480,0,9,United States Virgin Islands,-064.9712508,G4000,348021896,00000000000000000022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01779809,69,4644252461,00,MP,69,A,+14.9367835,0,9,Commonwealth of the Northern Mariana Islands,+145.6010210,G4000,472292529,00000000000000000023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01802705,66,934337453,00,GU,66,A,+13.4382886,0,9,Guam,+144.7729493,G4000,543555840,00000000000000000024
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01802701,60,1307243754,00,AS,60,A,-14.2671590,0,9,American Samoa,-170.6682674,G4000,197759063,00000000000000000029
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01779808,72,4922382562,00,PR,72,A,+18.2176480,0,9,Puerto Rico,-066.4107992,G4000,8868896030,00000000000000000031
0.02026749596332513,0.012710998574594295,0.0043702493506414305,0.007907980984692467,0.21465804572871072,0.007333964430769917,0.006983930560918779,0.025483785475828982,0.02622494545218045,0.10043270075201043,0.3285511784686078,0.0359728038380349,4000.7556999999997,0.0,0.0875584580183189,0.035326900865254036,0.08621656153611179,01219835,44,1323670487,00,RI,44,A,+41.5974187,1,1,Rhode Island,-071.5272723,G4000,2677779902,00000000000000000005
0.029710750803518166,0.005020770326875498,0.0029139013862984455,0.004283180985777575,0.21858444492956974,0.007347006962546709,0.003103659955551127,0.18047548473401373,0.021645741122449002,0.37581924775872544,0.04231947287067354,0.02105794422509556,24215.507200000004,0.0,0.01705755310382266,0.004464750587590417,0.0661960902474923,01779794,33,1026675248,00,NH,33,A,+43.6726907,1,1,New Hampshire,-071.5843145,G4000,23189413166,00000000000000000007
0.12613629242491473,0.0018416019906272658,0.017457011317470666,0.004590336174861977,0.38503443538167553,0.0029825654594858044,0.0013298210134664763,0.12566290375477887,0.015558156161529996,0.2168578439723632,0.040209868147221155,0.008870221096401247,24903.4266,0.0,0.008086148273266138,0.0017589868536404545,0.04362380797829645,01779802,50,1030416650,00,VT,50,A,+44.0685773,1,1,Vermont,-072.6691839,G4000,23874175944,00000000000000000009
0.03224626441907711,0.0034875328154139783,0.0149486198326033,0.006086641127224875,0.44498740148445876,0.0018347957920131378,0.002284600744319486,0.009770907455913205,0.06555340770937816,0.09262092896761236,0.12741018664499199,0.057174922489732924,14358.0011,0.0,0.05677552845430552,0.01482051007782692,0.06999775198512835,01779780,09,1815617571,00,CT,09,A,+41.5798637,1,1,Connecticut,-072.7466572,G4000,12542497068,0000000000000000000a
0.024458177518725813,0.016804172071361107,0.01159684033852916,0.008548563368936406,0.1412720140120487,0.009690981578394642,0.0012695269728682328,0.19568520671493328,0.009491019402492943,0.3260830811327519,0.128961701566546,0.007088205725429352,91627.82870000001,0.0,0.004211178039188873,0.0013042827893617868,0.11353504876843161,01779787,23,11746549764,00,ME,23,A,+45.4092843,1,1,Maine,-068.6666160,G4000,79887426037,00000000000000000025
0.026957708490558868,0.006566932714706405,0.009781007261750869,0.012699583044713013,0.16854221395130578,0.003265842169318973,0.00580275201933973,0.06414042060291215,0.0346823897400868,0.17146419236969906,0.2598078588116747,0.05434725166355577,27331.755600000004,0.0,0.06850695313549487,0.023095413600142098,0.09033948042474078,00606926,25,7129925486,00,MA,25,A,+42.1565196,1,1,Massachusetts,-071.4895915,G4000,20205125364,00000000000000000033
0.03820169989846308,0.004312011303648191,0.08713327819851635,0.04121674678124297,0.18224326317259296,0.0029328603427944936,0.004472767945682429,0.033885394904731095,0.08843059673815445,0.03822426169058381,0.15298589073519284,0.08263407528666854,22591.290500000003,0.0,0.056707358085630384,0.0272097027834687,0.15941009213262958,01779795,34,3544860246,00,NJ,34,A,+40.1072744,2,1,New Jersey,-074.6652012,G4000,19047825980,0000000000000000000e
0.1352475169370773,0.005183575796159809,0.09886058583338053,0.0013494735957795595,0.4980122186435881,0.0027228721524054597,0.0021648203656644506,0.011223359515855175,0.04269015432200868,0.10758284501650142,0.027607970341854936,0.02905903845809561,119277.1022,0.0,0.016519585600730666,0.0075320357673813445,0.014243947653517022,01779798,42,3394589990,00,PA,42,A,+40.9024957,2,1,Pennsylvania,-077.8334514,G4000,115884442321,00000000000000000012
0.12413071287192723,0.002994461071424969,0.07944243591025538,0.004631381454588469,0.3503512488840086,0.002709699284543026,0.0015946238218095287,0.06947258474177433,0.028090608138512402,0.0868895935487737,0.13624914980075414,0.020222912631784596,141283.35280000002,0.0,0.015186099122641997,0.007420499862316404,0.07061398885488508,01779796,36,19246994695,00,NY,36,A,+42.9133974,2,1,New York,-075.5962723,G4000,122049149763,00000000000000000026
0.06775976029511493,0.002548623135630894,0.6495050276530251,0.0032026300441536366,0.12966258882662582,3.7305716131877956E-4,0.0011362481169302008,9.20519453921092E-4,0.014591864205099869,0.005909254369695304,0.042602033782052184,0.03406179922402457,149994.44,0.0,0.019531557969748748,0.007450113484206481,0.020744922278452455,01779784,17,6214824948,00,IL,17,A,+40.1028754,3,2,Illinois,-089.1526108,G4000,143780567633,00000000000000000002
0.06763911970356759,0.0052396311583351755,0.2578608286775737,0.02574743376057351,0.2166721981506382,0.002442908091266749,0.001067909995874034,0.013974730361150023,0.014824435011538618,0.05172971391868056,0.17096849042998055,0.014167643712690522,169634.70770000003,0.0,0.008203526382472728,0.002713207728774245,0.14674822291688364,01779806,55,29344951758,00,WI,55,A,+44.6309071,3,2,Wisconsin,-089.7093916,G4000,140290039723,0000000000000000000f
0.12597049555125697,0.0029738621524908753,0.3671525392869126,0.0026294488017309593,0.28854082809026443,0.001768951802959598,0.0017539220138926795,0.002943030534512747,0.03187000467548536,0.01121700481036744,0.08795481934598087,0.03689697668447339,116056.1863,0.0,0.020846179571558092,0.008001427839439525,0.009480508838674462,01085497,39,10268850702,00,OH,39,A,+40.4149297,3,2,Ohio,-082.7119975,G4000,105828882568,00000000000000000018
0.017159224950585347,0.013330859156926705,0.15198547993075456,0.004231209229825998,0.13603027784956645,0.004181609432203906,0.0018104632852518907,0.029419339931815326,0.016137504016388173,0.04039095379482907,0.4131707325923488,0.014732429958049697,250452.6348,0.0,0.010705693322576298,0.004119148520133675,0.14259507402874405,01779789,26,103885855702,00,MI,26,A,+44.8441768,3,2,Michigan,-085.6604907,G4000,146600952990,0000000000000000002a
0.07157086565905726,0.00355962265591621,0.5845817100263239,0.0017084624821899284,0.21402364664498816,0.0010406546297785878,0.0016151675664339798,0.001494805018248304,0.023213354020643208,0.009065792068194795,0.01721708468927874,0.026495906615336576,94326.6836,0.0,0.01711004498837273,0.0068275781085554875,0.02047530482668215,00448508,18,1538002829,00,IN,18,A,+39.9013136,3,2,Indiana,-086.2919129,G4000,92789302676,00000000000000000030
0.05704277178361103,0.007375984657114918,0.40441157953323925,0.07372968368649584,0.11734873360977562,0.004208065043026496,0.0015999052729893193,0.01867803889860444,0.013062343704350571,0.04329110555092434,0.08536357540290528,0.007872704307621037,225167.4559,0.0,0.007147540010021492,0.002259370022930565,0.15660859851638975,00662849,27,18945217189,00,MN,27,A,+46.3159573,4,2,Minnesota,-094.1996043,G4000,206228939448,00000000000000000003
0.008033113452484088,0.5283793963881626,0.3989264757365752,0.017630163148420665,0.009474869633833803,0.0013223041550346184,5.157949428396385E-4,0.003650096409234002,0.008424762050884693,8.336722620369576E-4,0.008145598379899166,0.0048953671233320385,200327.28399999996,0.0,0.0028035706808664175,0.0010238066223670263,0.005941009014029263,01779792,31,1371829134,00,NE,31,A,+41.5433053,4,2,Nebraska,-099.8118646,G4000,198956658395,00000000000000000011
0.06042230719646563,0.23276755035744862,0.5450531814302785,0.0312988292695572,0.010383904805338953,0.06168134461678527,0.0010230079081786784,6.483487953760865E-4,0.013436836750505013,3.4579166756457596E-4,0.034309129058565827,0.002630238338465393,183105.9159,0.0,0.0019413709177705492,3.749010492784412E-4,0.0036832578384213745,01779797,38,4403267548,00,ND,38,A,+47.4421740,4,2,North Dakota,-100.4608258,G4000,178707534813,00000000000000000020
0.31608919025020765,0.002509714025873682,0.2328388637323988,0.0031874602760139513,0.3520035157299157,0.0029370848642480602,0.001161226633324769,0.007199964604348826,0.0143410418813878,0.012380763817749062,0.013120834866424173,0.015179414304654094,180539.6931,0.0,0.008028093850792083,0.0027465367392939255,0.016276294423367442,01779791,29,2489425460,00,MO,29,A,+38.3507500,4,2,Missouri,-092.4567826,G4000,178050802184,0000000000000000002d
0.08904186977740877,0.3515127564060679,0.47076831782700596,0.001996194494448692,0.03762934533978362,0.00921709941971005,5.210359869341144E-4,1.369316957572474E-4,0.015332045835677384,0.001377620583524491,0.006076332560918581,0.008358295204540808,213099.676,0.0,0.0035598974819652,0.0012584341047989203,0.0032138232814582033,00481813,20,1344141205,00,KS,20,A,+38.4985464,4,2,Kansas,-098.3834298,G4000,211755344060,0000000000000000002f
0.07648380380204603,0.4766364637299986,0.33762915728881326,0.017904935880736425,0.0031667983928800815,0.016282705099612858,0.0067605484521791335,0.02710368007175381,0.01078243478205612,6.201517928137299E-4,0.021024050701811025,0.0020384819572274644,199729.1654,0.0,0.001492098559582726,4.0722144829029566E-4,0.0016674680401983994,01785534,46,3382720225,00,SD,46,A,+44.4467957,4,2,South Dakota,-100.2381762,G4000,196346981786,00000000000000000032
